-2.77251
17
1
1
0.532849
0.77842
1
1
1
1
1
1
1
1
0.594499
1
0.930766
0.251653
0.0881794
2.8057,1.8216,0.57143,0.0025251,0.41071,-1
1.7727,1.8061,0.69643,0.00011636,0.32143,1
1.8828,0.41075,0.19643,0.0021809,0.30357,1
0.68931,1.7174,0.75,0.00071379,0.28571,1
1.5917,2.1021,0.57143,5.8633e-05,0.26786,-1
0.90072,1.6715,0.67857,0.0015858,0.28571,1
-0.43707,1.4595,0.625,0.00079263,0.30357,-1
0.4547,1.3866,0.66071,0.00028516,0.32143,-1
2.3087,1.5839,0.55357,0.0001302,0.17857,-1
-0.16383,1.4514,0.71429,0.00011702,0.32143,-1
-0.60125,1.5936,0.48214,0.0002259,0.26786,-1
1.2304,1.8128,0.71429,0.00042817,0.28571,1
-3.2104,0.34292,0.69643,0.0031587,0.35714,1
0.77078,1.7436,0.66071,0.00053076,0.26786,1
1.1677,1.7505,0.71429,0.00063567,0.32143,1
2.5181,1.7107,0.67857,0.00019582,0.32143,1
3.4819,1.9826,0.48214,0.00053108,0.375,-1
